2022-09-11 01:36:34.243 *** Start program *** Start program
2022-09-11 01:36:50.287 *** Open case *** /home/zhihuang/Desktop/A14
2022-09-11 01:36:52.349 *** Open processed data
2022-09-11 01:36:52.349 *** Preload all statistics at once.
2022-09-11 01:36:53.799 *** Nuclei stat data loaded, took 1.45 seconds. Total number of nuclei: 1470268
2022-09-11 01:37:04.107 *** Mouse movement (LeftButton) ***  Mouse coords: (579, 305) (55616, 44619)
2022-09-11 01:37:04.176 *** Mouse movement (LeftButton) ***  Mouse coords: (579, 306) (55563, 44671)
2022-09-11 01:37:04.188 *** Mouse movement (LeftButton) ***  Mouse coords: (579, 309) (55563, 44776)
2022-09-11 01:37:04.204 *** Mouse movement (LeftButton) ***  Mouse coords: (579, 314) (55563, 44880)
2022-09-11 01:37:04.221 *** Mouse movement (LeftButton) ***  Mouse coords: (571, 323) (55145, 45090)
2022-09-11 01:37:04.238 *** Mouse movement (LeftButton) ***  Mouse coords: (559, 339) (54936, 45455)
2022-09-11 01:37:04.255 *** Mouse movement (LeftButton) ***  Mouse coords: (539, 359) (54518, 45663)
2022-09-11 01:37:04.271 *** Mouse movement (LeftButton) ***  Mouse coords: (516, 382) (54361, 45821)
2022-09-11 01:37:04.288 *** Mouse movement (LeftButton) ***  Mouse coords: (498, 400) (54623, 45559)
2022-09-11 01:37:04.304 *** Mouse movement (LeftButton) ***  Mouse coords: (490, 410) (55145, 45142)
2022-09-11 01:37:04.321 *** Mouse movement (LeftButton) ***  Mouse coords: (489, 411) (55511, 44671)
2022-09-11 01:37:05.554 *** Mouse movement (LeftButton) ***  Mouse coords: (427, 207) (61798, 49330)
2022-09-11 01:37:05.571 *** Mouse movement (LeftButton) ***  Mouse coords: (443, 228) (61848, 49392)
2022-09-11 01:37:05.588 *** Mouse movement (LeftButton) ***  Mouse coords: (474, 269) (61897, 49457)
2022-09-11 01:37:05.604 *** Mouse movement (LeftButton) ***  Mouse coords: (523, 325) (61954, 49504)
2022-09-11 01:37:05.621 *** Mouse movement (LeftButton) ***  Mouse coords: (578, 379) (61973, 49498)
2022-09-11 01:37:05.637 *** Mouse movement (LeftButton) ***  Mouse coords: (619, 419) (61929, 49453)
2022-09-11 01:37:05.654 *** Mouse movement (LeftButton) ***  Mouse coords: (658, 455) (61922, 49441)
